market_ticker,event_ticker,series_ticker,market_type,title,yes_sub_title,no_sub_title,result,result_binary,status,open_time,close_time,expected_expiration_time,volume,open_interest,tipoff_ts_used,tipoff_source,candle_ts,price_at_start_yes_bid,price_at_start_yes_ask,price_at_start_mid,price_at_start_last,n_candles_in_window
KXNBAGAME-26MAR25DALDEN-DEN,KXNBAGAME-26MAR25DALDEN,KXNBAGAME,game_winner,Dallas at Denver Winner?,Denver,Denver,yes,1,finalized,2026-03-23T16:06:00Z,2026-03-26T04:47:57Z,2026-03-26T05:00:00Z,2216179.00,0.00,1774492200,expected_expiration-150m,1774492200,0.88,0.89,0.885,0.88,109
KXNBAGAME-26APR01DENUTA-DEN,KXNBAGAME-26APR01DENUTA,KXNBAGAME,game_winner,Denver at Utah Winner?,Denver,Denver,yes,1,finalized,2026-03-30T16:06:00Z,2026-04-02T03:37:49Z,2026-04-02T04:00:00Z,1018002.00,0.00,1775093400,expected_expiration-150m,,,,,,0
KXNBAGAME-26APR03ORLDAL-DAL,KXNBAGAME-26APR03ORLDAL,KXNBAGAME,game_winner,Orlando at Dallas Winner?,Dallas,Dallas,no,0,finalized,2026-04-02T04:06:00Z,2026-04-04T03:20:35Z,2026-04-04T03:30:00Z,1990088.00,1574252.00,1775264400,expected_expiration-150m,1775264400,0.21,0.22,0.215,0.22,111
KXNBAGAME-26MAR25BKNGSW-GSW,KXNBAGAME-26MAR25BKNGSW,KXNBAGAME,game_winner,Brooklyn at Golden State Winner?,Golden State,Golden State,yes,1,finalized,2026-03-23T16:06:00Z,2026-03-26T04:50:37Z,2026-03-26T05:00:00Z,4586827.00,0.00,1774492200,expected_expiration-150m,1774492200,0.87,0.88,0.875,0.88,104
KXNBAGAME-26MAR25WASUTA-UTA,KXNBAGAME-26MAR25WASUTA,KXNBAGAME,game_winner,Washington at Utah Winner?,Utah,Utah,no,0,finalized,2026-03-23T16:06:00Z,2026-03-26T03:30:45Z,2026-03-26T04:00:00Z,1667085.00,0.00,1774488600,expected_expiration-150m,1774488600,0.48,0.5,0.49,0.49,111
KXNBAGAME-26MAR25CHIPHI-PHI,KXNBAGAME-26MAR25CHIPHI,KXNBAGAME,game_winner,Chicago at Philadelphia Winner?,Philadelphia,Philadelphia,yes,1,finalized,2026-03-23T13:06:00Z,2026-03-26T01:41:21Z,2026-03-26T02:00:00Z,1011901.00,0.00,1774481400,expected_expiration-150m,1774481400,0.72,0.74,0.73,0.74,110
KXNBAGAME-26MAR25LALIND-LAL,KXNBAGAME-26MAR25LALIND,KXNBAGAME,game_winner,Los Angeles L at Indiana Winner?,Los Angeles L,Los Angeles L,yes,1,finalized,2026-03-23T13:06:00Z,2026-03-26T01:41:17Z,2026-03-26T02:00:00Z,3032947.00,0.00,1774481400,expected_expiration-150m,1774481400,0.88,0.89,0.885,0.89,111
KXNBAGAME-26APR01SASGSW-SAS,KXNBAGAME-26APR01SASGSW,KXNBAGAME,game_winner,San Antonio at Golden State Winner?,San Antonio,San Antonio,yes,1,finalized,2026-03-30T16:06:00Z,2026-04-02T04:54:00Z,2026-04-02T05:00:00Z,3058296.00,0.00,1775097000,expected_expiration-150m,,,,,,0
KXNBAGAME-26MAR26NYKCHA-NYK,KXNBAGAME-26MAR26NYKCHA,KXNBAGAME,game_winner,New York at Charlotte Winner?,New York,New York,no,0,finalized,2026-03-24T13:06:00Z,2026-03-27T01:40:39Z,2026-03-27T02:00:00Z,4892762.00,0.00,1774567800,expected_expiration-150m,1774567800,0.36,0.37,0.365,0.37,111
KXNBAGAME-26MAR25CHIPHI-CHI,KXNBAGAME-26MAR25CHIPHI,KXNBAGAME,game_winner,Chicago at Philadelphia Winner?,Chicago,Chicago,no,0,finalized,2026-03-23T13:06:00Z,2026-03-26T01:41:21Z,2026-03-26T02:00:00Z,775403.00,0.00,1774481400,expected_expiration-150m,1774481400,0.26,0.28,0.27,0.28,111
